OffensiveRowNames,coef.OffGoalsRidge.,coef.OffShotAttRidge.,coef.OffCornersRidge.,coef.OffYellowCardsRidge.,coef.OffRedCardsRidge.,coef.OffFreeKicksRidge.,coef.OffPenaltiesRidge.,coef.OffCounterAttacksRidge.,coef.OffShotsOnTargetRidge.,coef.OffKeyPassesRidge.
`Ainsley Maitland-Niles`,0.021173630622736247,0.28824747873507645,-0.04317262061840097,0.05096075892393468,-0.06321530756752188,0.9742870439514021,-0.002622254313234801,-0.0017446728947493326,0.16052102891274528,-0.05000850334413189
`Albian Ajeti`,0.5878597543220592,4.210705432619794,0.9514890746383889,0.006682630542223093,0.0074034076636994225,-0.840410729430367,0.0013109813038324678,0.02348522512079583,1.2911593404688404,0.9899306475988503
`Alex Iwobi`,0.07329739036701441,0.07776110197112207,-0.17105846595606644,0.03982898908004114,0.052315792151587985,0.2053948343620178,0.001885006862189366,0.010556470900557878,0.13786495675647004,0.023910507314540724
`Alex McCarthy`,-0.07147694464941369,-0.4011858278660966,-0.022446489252687697,0.013939216059094593,0.0017158260555099813,0.07986943799557887,0.005795446692022653,-0.015605052564896367,-0.12434065756313815,-0.07620000145879122
`Alex Oxlade-Chamberlain`,0.1993020837888135,0.31234089815774546,0.18225911996754918,-0.0015762434617620517,0.003051477695777213,-0.2642193099394472,-7.092063300624975e-4,-0.023408018741373868,0.3594936382510039,0.1286758785830851
`Alexander Tettey`,0.02490068126116146,0.021967750325277396,0.010763381265189534,-0.05475440507817151,0.0011097814375928643,-0.0015576779869264986,0.013840251434526175,0.00666123726819676,0.12862839081614255,-0.05380176011986984
`Alexandre Lacazette`,-0.03253522992442464,-0.25563976851901554,-0.009041779819116462,-0.013033848332583378,-0.04476334457171938,-0.5663193039497055,2.0062671265598406e-4,-0.019962587423568195,-0.12066238384619356,-0.024485563269463526
`Alexis Mac Allister`,0.13014009233449303,-0.14774884992485512,-0.14054861807629027,0.15696097265953998,0.0032420556576628163,-1.9295357333627974,0.0030935287349512903,0.022553039890624675,0.4392193513019133,-0.5656097686966873
`Alireza Jahanbakhsh`,-0.05103949357596715,-0.4101510098649738,-0.7566851822250404,-0.0012388981974061507,1.1109407686285787e-4,-0.7744891163776156,-0.0027276160419396093,0.005774965566289277,-0.22651100572501376,-0.022253195832745397
Alisson,0.10365537838670387,0.4683694967712839,0.17862884887436092,0.04808072855452051,0.002665480246328037,0.09912187346590176,4.4970236104399707e-4,0.004784665018338671,0.1934611983595194,0.05443092780642811
`Allan Saint-Maximin`,0.12443308818903752,0.5660890943274246,-0.5306144447388423,-0.008048543828246366,-0.01723425079554485,0.2090195889209436,-0.008918354144767965,-0.037070954846025614,0.18447375251861425,-0.1106835703862916
`André Gomes`,-0.022262521410745546,-0.48731321511823905,-0.05130869771693372,0.12535704229138828,0.05786601701751318,-0.8232417298368168,3.136084546324617e-4,0.029215056231402477,-0.2077044223714719,-0.025181962539455396
